country,seasonality,year_month,unemployment,unemployment_rate,date,year,month
be,sa,1990.03,259000,6.7,3/1/1990,1990,3
be,sa,1990.04,257000,6.6,4/1/1990,1990,4
be,sa,1990.05,256000,6.6,5/1/1990,1990,5
be,sa,1990.06,254000,6.6,6/1/1990,1990,6
be,sa,1990.07,254000,6.5,7/1/1990,1990,7
be,sa,1990.08,253000,6.5,8/1/1990,1990,8
be,sa,1990.09,251000,6.4,9/1/1990,1990,9
be,sa,1990.11,251000,6.4,11/1/1990,1990,11
be,sa,1990.12,251000,6.4,12/1/1990,1990,12
be,sa,1991.01,250000,6.4,1/1/1991,1991,1
be,sa,1991.02,251000,6.4,2/1/1991,1991,2
be,sa,1991.03,252000,6.4,3/1/1991,1991,3
be,sa,1991.04,252000,6.3,4/1/1991,1991,4
be,sa,1991.05,253000,6.4,5/1/1991,1991,5
be,sa,1991.06,255000,6.4,6/1/1991,1991,6
be,sa,1991.07,256000,6.4,7/1/1991,1991,7
be,sa,1991.08,257000,6.4,8/1/1991,1991,8
be,sa,1991.09,258000,6.5,9/1/1991,1991,9
be,sa,1991.11,265000,6.6,11/1/1991,1991,11
be,sa,1991.12,267000,6.6,12/1/1991,1991,12
be,sa,1992.01,269000,6.7,1/1/1992,1992,1
be,sa,1992.02,271000,6.7,2/1/1992,1992,2
be,sa,1992.03,274000,6.8,3/1/1992,1992,3
be,sa,1992.04,278000,6.9,4/1/1992,1992,4
be,sa,1992.05,282000,7,5/1/1992,1992,5
be,sa,1992.06,285000,7,6/1/1992,1992,6
be,sa,1992.07,288000,7.1,7/1/1992,1992,7
be,sa,1992.08,291000,7.2,8/1/1992,1992,8
be,sa,1992.09,294000,7.2,9/1/1992,1992,9
be,sa,1992.11,304000,7.5,11/1/1992,1992,11
be,sa,1992.12,311000,7.6,12/1/1992,1992,12
be,sa,1993.01,317000,7.8,1/1/1993,1993,1
be,sa,1993.02,323000,7.9,2/1/1993,1993,2
be,sa,1993.03,329000,8.1,3/1/1993,1993,3
be,sa,1993.04,335000,8.2,4/1/1993,1993,4
be,sa,1993.05,342000,8.4,5/1/1993,1993,5
be,sa,1993.06,350000,8.5,6/1/1993,1993,6
be,sa,1993.07,357000,8.7,7/1/1993,1993,7
be,sa,1993.08,365000,8.9,8/1/1993,1993,8
be,sa,1993.09,372000,9,9/1/1993,1993,9
be,sa,1993.11,385000,9.3,11/1/1993,1993,11
be,sa,1993.12,391000,9.5,12/1/1993,1993,12
be,sa,1994.01,396000,9.6,1/1/1994,1994,1
be,sa,1994.02,400000,9.6,2/1/1994,1994,2
be,sa,1994.03,404000,9.7,3/1/1994,1994,3
be,sa,1994.04,407000,9.8,4/1/1994,1994,4
be,sa,1994.05,410000,9.9,5/1/1994,1994,5
be,sa,1994.06,411000,9.9,6/1/1994,1994,6
be,sa,1994.07,409000,9.8,7/1/1994,1994,7
be,sa,1994.08,409000,9.8,8/1/1994,1994,8
be,sa,1994.09,409000,9.8,9/1/1994,1994,9
be,sa,1994.11,407000,9.7,11/1/1994,1994,11
be,sa,1994.12,406000,9.7,12/1/1994,1994,12
be,sa,1995.01,405000,9.7,1/1/1995,1995,1
be,sa,1995.02,404000,9.7,2/1/1995,1995,2
be,sa,1995.03,404000,9.6,3/1/1995,1995,3
be,sa,1995.04,402000,9.6,4/1/1995,1995,4
be,sa,1995.05,402000,9.6,5/1/1995,1995,5
be,sa,1995.06,403000,9.6,6/1/1995,1995,6
be,sa,1995.07,405000,9.6,7/1/1995,1995,7
be,sa,1995.08,406000,9.7,8/1/1995,1995,8
be,sa,1995.09,409000,9.7,9/1/1995,1995,9
be,sa,1995.11,414000,9.8,11/1/1995,1995,11
be,sa,1995.12,414000,9.9,12/1/1995,1995,12
be,sa,1996.01,416000,9.9,1/1/1996,1996,1
be,sa,1996.02,415000,9.9,2/1/1996,1996,2
be,sa,1996.03,412000,9.8,3/1/1996,1996,3
be,sa,1996.04,409000,9.7,4/1/1996,1996,4
be,sa,1996.05,406000,9.7,5/1/1996,1996,5
be,sa,1996.06,401000,9.6,6/1/1996,1996,6
be,sa,1996.07,397000,9.5,7/1/1996,1996,7
be,sa,1996.08,395000,9.4,8/1/1996,1996,8
be,sa,1996.09,393000,9.4,9/1/1996,1996,9
be,sa,1996.11,388000,9.2,11/1/1996,1996,11
be,sa,1996.12,387000,9.2,12/1/1996,1996,12
be,sa,1997.01,385000,9.2,1/1/1997,1997,1
be,sa,1997.02,384000,9.1,2/1/1997,1997,2
be,sa,1997.03,384000,9.1,3/1/1997,1997,3
be,sa,1997.04,385000,9.1,4/1/1997,1997,4
be,sa,1997.05,386000,9.1,5/1/1997,1997,5
be,sa,1997.06,389000,9.2,6/1/1997,1997,6
be,sa,1997.07,392000,9.3,7/1/1997,1997,7
be,sa,1997.08,392000,9.3,8/1/1997,1997,8
be,sa,1997.09,393000,9.3,9/1/1997,1997,9
be,sa,1997.11,396000,9.3,11/1/1997,1997,11
be,sa,1997.12,398000,9.4,12/1/1997,1997,12
be,sa,1998.01,400000,9.4,1/1/1998,1998,1
be,sa,1998.02,401000,9.4,2/1/1998,1998,2
be,sa,1998.03,403000,9.5,3/1/1998,1998,3
be,sa,1998.04,403000,9.5,4/1/1998,1998,4
be,sa,1998.05,401000,9.4,5/1/1998,1998,5
be,sa,1998.06,399000,9.4,6/1/1998,1998,6
be,sa,1998.07,398000,9.3,7/1/1998,1998,7
be,sa,1998.08,402000,9.4,8/1/1998,1998,8
be,sa,1998.09,403000,9.4,9/1/1998,1998,9
be,sa,1998.11,394000,9.1,11/1/1998,1998,11
be,sa,1998.12,394000,9.1,12/1/1998,1998,12
be,sa,1999.01,395000,9.1,1/1/1999,1999,1
be,sa,1999.02,394000,9,2/1/1999,1999,2
be,sa,1999.03,393000,9,3/1/1999,1999,3
be,sa,1999.04,390000,8.9,4/1/1999,1999,4
be,sa,1999.05,386000,8.8,5/1/1999,1999,5
be,sa,1999.06,380000,8.7,6/1/1999,1999,6
be,sa,1999.07,371000,8.5,7/1/1999,1999,7
be,sa,1999.08,363000,8.3,8/1/1999,1999,8
be,sa,1999.09,352000,8.1,9/1/1999,1999,9
be,sa,1999.11,340000,7.8,11/1/1999,1999,11
be,sa,1999.12,333000,7.6,12/1/1999,1999,12
be,sa,2000.01,323000,7.4,1/1/2000,2000,1
be,sa,2000.02,315000,7.2,2/1/2000,2000,2
be,sa,2000.03,307000,7,3/1/2000,2000,3
be,sa,2000.04,307000,6.9,4/1/2000,2000,4
be,sa,2000.05,302000,6.8,5/1/2000,2000,5
be,sa,2000.06,299000,6.8,6/1/2000,2000,6
be,sa,2000.07,297000,6.7,7/1/2000,2000,7
be,sa,2000.08,300000,6.8,8/1/2000,2000,8
be,sa,2000.09,295000,6.7,9/1/2000,2000,9
be,sa,2000.11,291000,6.7,11/1/2000,2000,11
be,sa,2000.12,284000,6.5,12/1/2000,2000,12
be,sa,2001.01,275000,6.3,1/1/2001,2001,1
be,sa,2001.02,271000,6.2,2/1/2001,2001,2
be,sa,2001.03,272000,6.3,3/1/2001,2001,3
be,sa,2001.04,281000,6.5,4/1/2001,2001,4
be,sa,2001.05,284000,6.6,5/1/2001,2001,5
be,sa,2001.06,280000,6.5,6/1/2001,2001,6
be,sa,2001.07,271000,6.2,7/1/2001,2001,7
be,sa,2001.08,273000,6.3,8/1/2001,2001,8
be,sa,2001.09,285000,6.5,9/1/2001,2001,9
be,sa,2001.11,308000,7.1,11/1/2001,2001,11
be,sa,2001.12,317000,7.3,12/1/2001,2001,12
be,sa,2002.01,320000,7.3,1/1/2002,2002,1
be,sa,2002.02,322000,7.4,2/1/2002,2002,2
be,sa,2002.03,324000,7.4,3/1/2002,2002,3
be,sa,2002.04,320000,7.3,4/1/2002,2002,4
be,sa,2002.05,323000,7.4,5/1/2002,2002,5
be,sa,2002.06,327000,7.5,6/1/2002,2002,6
be,sa,2002.07,338000,7.7,7/1/2002,2002,7
be,sa,2002.08,339000,7.7,8/1/2002,2002,8
be,sa,2002.09,342000,7.7,9/1/2002,2002,9
be,sa,2002.11,343000,7.8,11/1/2002,2002,11
be,sa,2002.12,344000,7.8,12/1/2002,2002,12
be,sa,2003.01,349000,8,1/1/2003,2003,1
be,sa,2003.02,353000,8.1,2/1/2003,2003,2
be,sa,2003.03,356000,8.1,3/1/2003,2003,3
be,sa,2003.04,361000,8.2,4/1/2003,2003,4
be,sa,2003.05,361000,8.2,5/1/2003,2003,5
be,sa,2003.06,361000,8.2,6/1/2003,2003,6
be,sa,2003.07,359000,8.1,7/1/2003,2003,7
be,sa,2003.08,358000,8.1,8/1/2003,2003,8
be,sa,2003.09,362000,8.2,9/1/2003,2003,9
be,sa,2003.11,372000,8.3,11/1/2003,2003,11
be,sa,2003.12,379000,8.4,12/1/2003,2003,12
be,sa,2004.01,384000,8.6,1/1/2004,2004,1
be,sa,2004.02,383000,8.5,2/1/2004,2004,2
be,sa,2004.03,377000,8.4,3/1/2004,2004,3
be,sa,2004.04,360000,8,4/1/2004,2004,4
be,sa,2004.05,358000,7.9,5/1/2004,2004,5
be,sa,2004.06,368000,8.1,6/1/2004,2004,6
be,sa,2004.07,387000,8.5,7/1/2004,2004,7
be,sa,2004.08,398000,8.8,8/1/2004,2004,8
be,sa,2004.09,397000,8.8,9/1/2004,2004,9
be,sa,2004.11,376000,8.3,11/1/2004,2004,11
be,sa,2004.12,375000,8.3,12/1/2004,2004,12
be,sa,2005.01,380000,8.3,1/1/2005,2005,1
be,sa,2005.02,386000,8.4,2/1/2005,2005,2
be,sa,2005.03,390000,8.4,3/1/2005,2005,3
be,sa,2005.04,390000,8.5,4/1/2005,2005,4
be,sa,2005.05,399000,8.6,5/1/2005,2005,5
be,sa,2005.06,395000,8.6,6/1/2005,2005,6
be,sa,2005.07,397000,8.6,7/1/2005,2005,7
be,sa,2005.08,396000,8.6,8/1/2005,2005,8
be,sa,2005.09,397000,8.6,9/1/2005,2005,9
be,sa,2005.11,389000,8.4,11/1/2005,2005,11
be,sa,2005.12,389000,8.4,12/1/2005,2005,12
be,sa,2006.01,387000,8.4,1/1/2006,2006,1
be,sa,2006.02,388000,8.5,2/1/2006,2006,2
be,sa,2006.03,391000,8.5,3/1/2006,2006,3
be,sa,2006.04,396000,8.6,4/1/2006,2006,4
be,sa,2006.05,398000,8.6,5/1/2006,2006,5
be,sa,2006.06,391000,8.5,6/1/2006,2006,6
be,sa,2006.07,377000,8.2,7/1/2006,2006,7
be,sa,2006.08,371000,8,8/1/2006,2006,8
be,sa,2006.09,374000,8,9/1/2006,2006,9
be,sa,2006.11,378000,8,11/1/2006,2006,11
be,sa,2006.12,375000,7.9,12/1/2006,2006,12
be,sa,2007.01,372000,7.9,1/1/2007,2007,1
be,sa,2007.02,369000,7.8,2/1/2007,2007,2
be,sa,2007.03,370000,7.8,3/1/2007,2007,3
be,sa,2007.04,377000,8,4/1/2007,2007,4
be,sa,2007.05,371000,7.8,5/1/2007,2007,5
be,sa,2007.06,350000,7.4,6/1/2007,2007,6
be,sa,2007.07,337000,7.2,7/1/2007,2007,7
be,sa,2007.08,330000,7,8/1/2007,2007,8
be,sa,2007.09,328000,7,9/1/2007,2007,9
be,sa,2007.11,344000,7.2,11/1/2007,2007,11
be,sa,2007.12,344000,7.2,12/1/2007,2007,12
be,sa,2008.01,336000,7,1/1/2008,2008,1
be,sa,2008.02,329000,6.9,2/1/2008,2008,2
be,sa,2008.03,323000,6.8,3/1/2008,2008,3
be,sa,2008.04,320000,6.8,4/1/2008,2008,4
be,sa,2008.05,319000,6.7,5/1/2008,2008,5
be,sa,2008.06,327000,6.9,6/1/2008,2008,6
be,sa,2008.07,344000,7.2,7/1/2008,2008,7
be,sa,2008.08,350000,7.3,8/1/2008,2008,8
be,sa,2008.09,347000,7.2,9/1/2008,2008,9
be,sa,2008.11,339000,7.1,11/1/2008,2008,11
be,sa,2008.12,345000,7.2,12/1/2008,2008,12
